Machine_ID,Temperature,Run_Time,Downtime_Flag
1,98,296,No
2,88,297,No
3,74,214,No
4,67,267,No
5,80,257,No
6,98,101,No
7,78,110,Yes
8,82,182,No
9,70,1,No
10,70,55,No
11,83,149,No
12,95,137,No
13,99,202,No
14,83,117,Yes
15,62,154,No
16,81,291,No
17,61,63,No
18,83,244,Yes
19,89,25,No
20,97,90,Yes
21,61,75,No
22,80,294,No
23,92,210,No
24,71,17,No
25,81,128,No
26,84,251,Yes
27,86,179,Yes
28,87,182,No
29,75,152,No
30,74,25,No
31,62,180,No
32,96,198,Yes
33,66,161,No
34,80,177,No
35,68,285,No
36,98,63,No
37,77,150,No
38,63,154,No
39,84,156,Yes
40,73,49,Yes
41,68,84,No
42,85,177,No
43,61,148,Yes
44,79,118,No
45,87,63,No
46,66,189,No
47,67,49,No
48,94,257,No
49,73,224,No
50,76,141,Yes
51,95,215,No
52,99,211,No
53,63,32,No
54,61,158,No
55,65,285,No
56,63,286,No
57,88,144,No
58,77,19,No
59,85,18,No
60,93,257,Yes
61,69,78,No
62,95,175,No
63,73,194,No
64,90,113,Yes
65,74,114,No
66,67,222,No
67,73,166,No
68,82,132,No
69,99,264,Yes
70,80,55,No
71,75,131,No
72,77,288,No
73,83,266,No
74,85,162,Yes
75,84,87,Yes
76,88,55,Yes
77,74,288,No
78,60,178,No
79,84,8,No
80,66,247,No
81,68,255,No
82,83,54,Yes
83,60,249,Yes
84,67,239,No
85,83,229,No
86,70,67,No
87,76,51,No
88,67,97,No
89,94,92,No
90,94,264,No
91,92,291,No
92,64,96,Yes
93,98,88,Yes
94,87,78,No
95,66,288,No
96,68,120,No
97,67,165,Yes
98,71,182,No
99,93,223,No
100,92,7,No
101,82,263,No
102,83,161,No
103,96,151,No
104,94,85,No
105,99,147,No
106,81,112,No
107,86,36,No
108,94,285,No
109,60,188,No
110,94,82,Yes
111,96,2,No
112,73,197,No
113,62,11,Yes
114,60,234,Yes
115,64,195,No
116,85,119,No
117,73,20,No
118,98,261,Yes
119,86,293,Yes
120,68,256,No
121,74,222,No
122,74,226,No
123,85,53,No
124,72,280,No
125,91,81,No
126,98,202,No
127,91,158,No
128,63,120,No
129,89,59,No
130,96,215,No
131,82,128,Yes
132,98,224,No
133,74,209,Yes
134,88,115,No
135,95,209,No
136,72,14,No
137,91,9,No
138,66,40,No
139,81,237,No
140,87,281,Yes
141,61,201,No
142,65,246,No
143,87,278,Yes
144,87,235,No
145,79,4,No
146,89,154,No
147,70,29,No
148,87,109,Yes
149,84,98,No
150,98,215,Yes
151,92,293,No
152,60,75,No
153,86,146,No
154,72,128,No
155,62,42,Yes
156,98,41,Yes
157,65,34,Yes
158,67,17,No
159,86,165,Yes
160,68,153,No
161,96,76,No
162,92,87,No
163,83,117,Yes
164,74,27,No
165,91,287,No
166,91,134,No
167,83,219,No
168,71,168,Yes
169,98,98,No
170,61,268,No
171,62,237,No
172,96,173,No
173,76,190,No
174,61,122,No
175,61,46,No
176,87,64,No
177,82,130,No
178,96,193,No
179,91,181,No
180,92,292,Yes
181,60,282,Yes
182,78,29,No
183,61,149,No
184,85,267,No
185,91,296,No
186,65,11,No
187,91,164,Yes
188,63,113,No
189,70,187,Yes
190,76,295,No
191,97,232,No
192,83,227,Yes
193,64,98,No
194,93,55,No
195,65,111,No
196,81,152,No
197,70,246,No
198,75,69,Yes
199,92,289,Yes
200,68,250,Yes
201,65,36,No
202,75,239,No
203,88,148,No
204,62,227,Yes
205,79,244,No
206,95,201,No
207,78,154,No
208,85,73,No
209,62,201,No
210,78,296,Yes
211,79,17,No
